Date,Outcome,Net_PnL,Balance
2026-03-30 10:05,LOSS,-660.0,49340.0
2026-04-01 15:25,LOSS,-660.0,48680.0
2026-04-02 10:05,FULL_WIN,1740.0,50420.0
2026-04-06 10:00,LOSS,-660.0,49760.0
2026-04-07 15:15,LOSS,-660.0,49100.0
2026-04-09 09:50,T1_HIT_BE,240.0,49340.0
2026-04-16 15:00,LOSS,-660.0,48680.0
2026-04-17 14:20,T1_HIT_BE,240.0,48920.0
2026-04-20 11:20,T1_HIT_BE,240.0,49160.0
2026-04-29 15:30,T1_HIT_BE,240.0,49400.0
2026-04-30 10:00,T1_HIT_BE,240.0,49640.0
2026-05-04 15:05,T1_HIT_BE,240.0,49880.0
2026-05-06 09:30,LOSS,-660.0,49220.0
2026-05-14 14:45,T1_HIT_BE,240.0,49460.0
2026-05-15 10:35,T1_HIT_BE,240.0,49700.0
2026-05-20 09:30,LOSS,-660.0,49040.0
2026-05-20 10:10,T1_HIT_BE,240.0,49280.0
2026-05-20 10:25,FULL_WIN,1740.0,51020.0
2026-05-26 09:30,LOSS,-660.0,50360.0
2026-05-29 13:50,T1_HIT_BE,240.0,50600.0
